年份,城市,温度,风向
2000,东莞,22.84,72.1
2001,东莞,22.96,79.1
2002,东莞,23.19,101.2
2003,东莞,23.14,97.9
2004,东莞,23.16,82.1
2005,东莞,22.98,95.3
2006,东莞,23.37,81.3
2007,东莞,23.45,82.1
2008,东莞,22.69,78.1
2009,东莞,23.3,87.8
2010,东莞,22.94,85.7
2011,东莞,22.14,85.7
2012,东莞,22.5,85.7
2013,东莞,22.36,85.7
2014,东莞,22.47,85.7
2015,东莞,23.1,85.7
2016,东莞,22.56,85.7
2017,东莞,22.9,85.7
2018,东莞,22.8,85.7
2019,东莞,23.42,85.7
2020,东莞,23.42,85.7
2021,东莞,23.6,85.7
2022,东莞,22.7,85.7
2000,佛山,22.47,53.1
2001,佛山,22.55,61.0
2002,佛山,22.98,82.3
2003,佛山,23.0,82.6
2004,佛山,22.85,59.5
2005,佛山,22.78,73.3
2006,佛山,23.2,57.9
2007,佛山,23.21,60.9
2008,佛山,22.45,54.9
2009,佛山,22.98,75.1
2010,佛山,22.53,66.1
2011,佛山,21.43,66.1
2012,佛山,21.67,66.1
2013,佛山,21.55,66.1
2014,佛山,21.7,66.1
2015,佛山,22.25,66.1
2016,佛山,21.91,66.1
2017,佛山,22.1,66.1
2018,佛山,22.12,66.1
2019,佛山,22.64,66.1
2020,佛山,22.66,66.1
2021,佛山,22.93,66.1
2022,佛山,22.04,66.1
2000,广州,22.38,56.7
2001,广州,22.45,65.5
2002,广州,22.88,88.6
2003,广州,22.9,87.6
2004,广州,22.75,64.9
2005,广州,22.68,79.8
2006,广州,23.1,62.9
2007,广州,23.11,65.6
2008,广州,22.35,61.0
2009,广州,22.88,79.0
2010,广州,22.43,71.2
2011,广州,21.32,71.2
2012,广州,21.57,71.2
2013,广州,21.45,71.2
2014,广州,21.6,71.2
2015,广州,22.15,71.2
2016,广州,21.81,71.2
2017,广州,22.0,71.2
2018,广州,22.03,71.2
2019,广州,22.54,71.2
2020,广州,22.56,71.2
2021,广州,22.82,71.2
2022,广州,21.94,71.2
2000,深圳,23.3,78.5
2001,深圳,23.48,84.8
2002,深圳,23.5,97.1
2003,深圳,23.39,96.5
2004,深圳,23.56,88.2
2005,深圳,23.27,95.2
2006,深圳,23.64,88.2
2007,深圳,23.79,87.4
2008,深圳,23.03,79.5
2009,深圳,23.72,88.2
2010,深圳,23.44,88.4
2011,深圳,22.97,88.4
2012,深圳,23.43,88.4
2013,深圳,23.26,88.4
2014,深圳,23.34,88.4
2015,深圳,24.05,88.4
2016,深圳,23.31,88.4
2017,深圳,23.8,88.4
2018,深圳,23.57,88.4
2019,深圳,24.31,88.4
2020,深圳,24.28,88.4
2021,深圳,24.37,88.4
2022,深圳,23.46,88.4
